FT,"Abel E","Abel E","Moon",14,-37.54,84.44,SF,"Niels Henrik; Norwegian mathematician (1802-1829).",
FT,"Abel J","Abel J","Moon",18.76,-36.2,79.87,SF,"Niels Henrik; Norwegian mathematician (1802-1829).",
FT,"Abel K","Abel K","Moon",9.94,-34.69,77.46,SF,"Niels Henrik; Norwegian mathematician (1802-1829).",
FT,"Abel L","Abel L","Moon",54.13,-34.55,82.39,SF,"Niels Henrik; Norwegian mathematician (1802-1829).",
FT,"Abellio","Abellio","Ceres",32,33.2,293.09,AA,"Gaul god of the apple tree.",
FT,"Abel M","Abel M","Moon",91.01,-32.38,83.52,SF,"Niels Henrik; Norwegian mathematician (1802-1829).",
FT,"Abe Mango Dorsa","Abe Mango Dorsa","Venus",800,47,212,DO,"Tukano (Brazil) daughter of sun god.",
FT,"Abenezra","Abenezra","Moon",43.19,-20.99,11.89,AA,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra A","Abenezra A","Moon",22.19,-22.79,10.44,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra B","Abenezra B","Moon",13.77,-20.82,10.06,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra C","Abenezra C","Moon",43.69,-21.37,11.09,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra D","Abenezra D","Moon",7.25,-21.76,9.65,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra E","Abenezra E","Moon",14.11,-21.46,9.4,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra F","Abenezra F","Moon",6.3,-21.58,10.34,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra G","Abenezra G","Moon",4.92,-20.53,11,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra H","Abenezra H","Moon",4.72,-21.09,12.71,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra J","Abenezra J","Moon",4.26,-19.92,10.69,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abenezra P","Abenezra P","Moon",39.27,-20.02,9.85,SF,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
FT,"Abeona Mons","Abeona Mons","Venus",375,-44.8,273.1,MO,"Roman goddess of travelers.",
FT,"Abetti","Abetti","Moon",1.6,20.11,27.82,AA,"Antonio; Italian astronomer (1846-1928); Giorgio; Italian astronomer (1882-1982).",
FT,"Abigail","Abigail","Venus",18.4,-52.2,111.2,AA,"First name from Hebrew.",
FT,"Abika","Abika","Venus",14.5,-52.5,104.4,AA,"Mari first name.",
FT,"Abington","Abington","Venus",21.7,-47.8,277.7,AA,"Frances; English actress (1737-1815).",
FT,"Abisme","Abisme","Iapetus",767.74,37.53,267.08,AA,"A Saracen lord, killed by Archbishop Turpin.",
FT,"Abra","Abra","Venus",7.2,6.2,97.4,AA,"Ewe first name.",
FT,"Abulfeda","Abulfeda","Moon",62.23,-13.87,13.91,AA,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda A","Abulfeda A","Moon",13.26,-16.43,10.75,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda B","Abulfeda B","Moon",15.49,-14.51,16.37,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda BA","Abulfeda BA","Moon",13.99,-14.69,16.8,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda C","Abulfeda C","Moon",16.43,-12.79,10.83,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda D","Abulfeda D","Moon",19.68,-13.25,9.46,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda E","Abulfeda E","Moon",5.55,-16.76,10.14,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda F","Abulfeda F","Moon",17.47,-16.19,13.07,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda G","Abulfeda G","Moon",6.31,-13.1,8.94,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda H","Abulfeda H","Moon",4.22,-13.84,9.56,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda J","Abulfeda J","Moon",4.07,-15.49,10.03,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda K","Abulfeda K","Moon",9.93,-14.92,10.58,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda L","Abulfeda L","Moon",4.95,-14.09,10.67,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda M","Abulfeda M","Moon",10.05,-16.23,12.06,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda N","Abulfeda N","Moon",13.07,-15.14,12.2,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda O","Abulfeda O","Moon",6.6,-15.47,11.16,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda P","Abulfeda P","Moon",4.59,-15.5,11.54,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda Q","Abulfeda Q","Moon",3.51,-12.86,12.22,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda R","Abulfeda R","Moon",6.34,-12.79,12.97,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda S","Abulfeda S","Moon",5.28,-12.28,13.3,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda T","Abulfeda T","Moon",6.16,-14.86,13.71,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda U","Abulfeda U","Moon",5.82,-12.97,13.8,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda W","Abulfeda W","Moon",5.42,-12.55,13.85,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda X","Abulfeda X","Moon",5.8,-15.01,13.99,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda Y","Abulfeda Y","Moon",4.63,-12.76,14.05,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abulfeda Z","Abulfeda Z","Moon",5.66,-14.73,15.18,SF,"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
FT,"Abul Wáfa","Abul Wafa","Moon",54.18,0.96,116.63,AA,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998).",
FT,"Abul Wáfa A","Abul Wafa A","Moon",14.98,1.4,116.86,SF,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998).",
FT,"Abul Wáfa Q","Abul Wafa Q","Moon",31.04,0.14,115.88,SF,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998).",
FT,"Abundia Corona","Abundia Corona","Venus",250,18.5,125,CR,"Norse goddess of giving.",
FT,"Abu Nuwas","Abu Nuwas","Mercury",117,17.63,338.81,AA,"Arab poet (c. 1756-1810).",
FT,"Abus Vallis","Abus Vallis","Mars",60.99,-5.49,212.8,VA,"Classical name for Humber River in England.",
FT,"Abydos Facula","Abydos Facula","Ganymede",180,33.33,206.56,FA,"Egyptian town where Osiris was worshipped.",
FT,"Acala Fluctus","Acala Fluctus","Io",415.32,9.03,25.4,FL,"Japanese fire god.",
FT,"Acastus","Acastus","Phoebe",34,9.6,211.5,AA,"Argonaut, son of the Thessalian king Pelias, took part in the Calydonian boar hunt.",
FT,"Accolon","Accolon","Mimas",48,-70.56,175.59,AA,"Companion of Arthur's; he was tricked into jousting with Arthur.",
FT,"Acelin","Acelin","Iapetus",38,42.7,205.1,AA,"Aceline of Gascony, one of the Twelve Peers, the council of King Charles.  ",
FT,"Acestes","Acestes","Dione",108,50.1,116.63,AA,"King of Sicily.",
FT,"Achaia Regio","Achaia Regio","Lutetia",0,28,206,RE,"Province of the Roman Empire at the time of Lutetia, located in ancient and present-day Greece.",
FT,"Achall Corona","Achall Corona","Venus",265,-31.2,259.6,CR,"Celtic earth and nature goddess.",
FT,"Achar","Achar","Mars",5.36,45.43,123.16,AA,"Town in Uruguay.",
FT,"Achek Dorsa","Achek Dorsa","Venus",1000,-37.2,230,DO,"Dinka (Sudan) wife of rain god Deng.",
FT,"Achelous","Achelous","Ganymede",40,61.9,348.22,AA,"Greek river god; father of Callirrhoe, Ganymede's mother.",
FT,"Acheron Catena","Acheron Catena","Mars",421.77,37.47,259.2,CA,"Named for classical albedo feature at 35N, 140W.",
FT,"Acheron Fossae","Acheron Fossae","Mars",703.11,38.27,224.98,FO,"From classical albedo feature at 35N, 140W.",
FT,"Achilles","Achilles","Tethys",58.6,0.6,35.62,AA,"Son of Peleus and Thetis, commander of the Myrmidons at Troy.  ",
FT,"Achita","Achita","Ceres",40,25.82,65.96,AA,"Nigerian god of agriculture.",
FT,"Acidalia Colles","Acidalia Colles","Mars",356.3,50.34,336.91,CO,"From classical albedo feature name.",
FT,"Acidalia Mensa","Acidalia Mensa","Mars",226.86,46.69,334.66,MN,"From classical albedo feature name.",
FT,"Acidalia Planitia","Acidalia Planitia","Mars",3505,49.76,339.26,PL,"From classical albedo feature at 44N, 21W.",
FT,"Acmon","Acmon","Dactyl",0.3,-39,138,AA,"One of the original three Dactyls.",
FT,"Aconia","Aconia","Vesta",19,7.54,151.37,AA,"Fabia Aconia Paulina; Roman aristocratic woman, wife of Praetextatus (d. c. 384).",
FT,"Acosta","Acosta","Moon",13.06,-5.65,60.14,AA,"Cristobal; Portuguese doctor, natural historian (1515-1580).",
FT,"Acrea Corona","Acrea Corona","Venus",200,24.2,243.7,CR,"Greek resplendent mother goddess.",
FT,"Ada","Ada","Mars",2.09,-3.06,356.78,AA,"Town in Oklahoma, USA.",
FT,"Adad","Adad","Ganymede",39,57.43,1.98,AA,"Assyro-Babylonian god of thunder.",
FT,"Adaiah","Adaiah","Venus",18,-47.3,253.4,AA,"Hebrew first name.",
FT,"Adal","Adal","Callisto",41.7,75.5,280.3,AA,"Norse; son of Karl and Erna.",
FT,"Adamas Labyrinthus","Adamas Labyrinthus","Mars",853,35.7,105.12,LB,"Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.",
FT,"Adams","Adams","Moon",63.27,-31.89,68.39,AA,"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).",
FT,"Adams","Adams","Mars",90.22,30.91,163.1,AA,"Walter S.; American astronomer (1876-1956).",
FT,"Adams B","Adams B","Moon",31.33,-31.54,65.7,SF,"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).",
FT,"Adams C","Adams C","Moon",11.12,-32.35,65.54,SF,"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).",
FT,"Adams D","Adams D","Moon",46.26,-32.41,71.45,SF,"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).",
FT,"Adams M","Adams M","Moon",25.23,-34.73,69.33,SF,"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).",
FT,"Adamson","Adamson","Venus",27.2,-14.8,29.6,AA,"Joy; Austrian author, animal expert (1910-1980).",
FT,"Adams P","Adams P","Moon",25.43,-35.15,70.91,SF,"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).",
FT,"Adapa","Adapa","Ganymede",57,73.08,328.68,AA,"Assyro-Babylonian; lost immortality when, at Ea's advice, he refused food of life.",
FT,"Addams","Addams","Venus",87,-56.2,98.9,AA,"Jane; American social reformer (1860-1935).",
FT,"Adelroth","Adelroth","Iapetus",57,6.6,176.4,AA,"Marsilion’s nephew, killed by Roland in the first battle.  ",
FT,"Adiri","Adiri","Titan",0,-10,150,AL,"Melanesian afterworld where life is easier than on Earth.",
FT,"Aditi Dorsa","Aditi Dorsa","Venus",1200,-30,189,DO,"Indian sky goddess.",
FT,"Adivar","Adivar","Venus",30.3,8.9,76.2,AA,"Halide; Turkish educator, author (1883-1964).",
FT,"Adjua","Adjua","Rhea",0,40.2,241.1,AA,"Mythical heroine and ancestor of the Ulci tribe.",
FT,"Adlinda","Adlinda","Callisto",840,-48.5,324.4,LG,"Eskimo; place in ocean depths where souls are imprisoned after death.",
FT,"Adlivun Cavus","Adlivun Cavus","Pluto",21.4,-15.4,188.86,CB,"Underworld in Inuit myths.",
FT,"Admetus","Admetus","Phoebe",58,11.4,320.9,AA,"Argonaut, founder and king of Pherae in Thessaly.",
FT,"Adonis Linea","Adonis Linea","Europa",1560,-61,237.4,LI,"Greek; son of Phoenix, nephew of Europa.",
FT,"Adrasthea Tesserae","Adrasthea Tesserae","Venus",750,30,55,TE,"Greek goddess of law.",
FT,"Adrastus","Adrastus","Dione",38.5,-61.66,313.43,AA,"King of Argos, one of the seven against Thebes, and the only one to return alive.",
FT,"Adriana","Adriana","Titania",50,-20.1,3.9,AA,"Wife of Antipholus of Ephesus in ""The Comedy of Errors.""",
FT,"Adventure Rupes","Adventure Rupes","Mercury",340,-65.48,294.7,RU,"English; one of Cook's ships on second voyage to the Pacific, 1772-75.",
FT,"Adzoba","Adzoba","Venus",10,12.8,117,AA,"Ewe (Ghana) first name.",
FT,"Aegina Farrum","Aegina Farrum","Venus",60,35.5,20.9,FR,"Greek river nymph.",
FT,"Aegir","Aegir","Callisto",53.9,-45.8,256.2,AA,"Norse sea god.",
FT,"Aelia","Aelia","Vesta",4.34,-14.26,290.8,AA,"Aelia Oculata; Roman vestal virgin (c. 83).",
FT,"Aellopus Saxum","Aellopus Saxum","Bennu",0.01,25.44,335.67,SA,"Aello; Greek, one of the harpies (together with Celaeno and Ocypete), half-maiden and half-bird personification of storm winds, that would snatch and carry things away from Earth.",
FT,"Aeneas","Aeneas","Dione",161,25.89,313.73,AA,"Hero of the Aeneid. The son of Anchises and Venus and a member of the royal family of Troy.",
FT,"Aeolis","Aeolis","Mars",0,-4.94,145,AL,"Floating island where winds were kept in a cave.",
FT,"Aeolis Chaos","Aeolis Chaos","Mars",201,-7.13,150.6,CH,"Classical albedo feature name.",
FT,"Aeolis Dorsa","Aeolis Dorsa","Mars",459.17,-5.05,152.63,DO,"Classical albedo feature name.",
FT,"Aeolis Mensae","Aeolis Mensae","Mars",785.09,-3.25,140.63,MN,"Classical albedo feature name.",
FT,"Aeolis Mons","Aeolis Mons","Mars",88.99,-5.08,137.85,MO,"Classical albedo feature name.",
FT,"Aeolis Palus","Aeolis Palus","Mars",111.63,-4.47,137.42,PA,"Classical albedo feature name.",
FT,"Aeolis Planum","Aeolis Planum","Mars",852.81,-1.14,144.76,PM,"Classical albedo feature name.",
FT,"Aeolis Serpens","Aeolis Serpens","Mars",538.55,-1.38,149.57,SE,"Classical albedo feature name.",
FT,"Aepinus","Aepinus","Moon",16.74,87.96,250.31,AA,"Franz Maria Ulrich Theodor Hoch; German-Russian astronomer (1724-1802).",
FT,"Aeracura Corona","Aeracura Corona","Venus",250,-19,238.5,CR,"Celtic earth goddess.",
FT,"Aeria","Aeria","Mars",0,9.88,50,AL,"Greek name for Egypt; ""far land of mist"".",
FT,"Aesacus Dorsum","Aesacus Dorsum","Mars",276.69,36.82,153.15,DO,"From albedo feature at 45N, 205W.",
FT,"Aethelflaed","Aethelflaed","Venus",20,-18.2,196.6,AA,"English leader of the Mercians (c. 884-918).",
FT,"Aetheria","Aetheria","Mars",0,39.67,130,AL,"Upper world; land of living.",
FT,"Aethiopis","Aethiopis","Mars",0,9.88,130,AL,"Countries of the Ethiopians on southern edge of the Earth.",
FT,"Aetos Saxum","Aetos Saxum","Bennu",0.01,3.46,150.36,SA,"Greek, childhood playmate of the supreme god Zeus who was turned into an eagle by Hera.",
FT,"Afekan","Afekan","Titan",115,25.8,159.7,AA,"New Guinea goddess of creation and knowledge who teaches people how to live correctly.",
FT,"Afiba","Afiba","Venus",9.5,-47.1,102.7,AA,"Ewe first name.",
FT,"Afiruwa","Afiruwa","Venus",5.2,4.3,3.8,AA,"Hausa first name.",
FT,"Afon","Afon","Ida",0.8,-6.5,0,AA,"Cave in Russia.",
FT,"Africana","Africana","Vesta",25.43,68.99,345.87,AA,"Cornelia Africana; Roman noblewoman, wife of Tiberus Gracchus Major, mother of Tiberus and Gaius Gracchus (c. 190-100 B.C.).",
FT,"Africanus Horton","Africanus Horton","Mercury",140,-50.96,318.81,AA,"(James Beale); Sierra Leonean author, folklorist (1835-1883).",
FT,"Aftenia","Aftenia","Venus",7,49.95,324,AA,"Moldavian first name.",
FT,"Afua","Afua","Venus",10,15.5,124,AA,"Akan (Ghana) first name.",
FT,"Aganippe Fossa","Aganippe Fossa","Mars",537.16,-8.49,234,FO,"Classical albedo feature name.",
FT,"Agape","Agape","Ariel",34,-46.9,336.5,AA,"Spirit in Spenser's ""Fairy Queene.""",
FT,"Agassiz","Agassiz","Mars",108.77,-69.88,271.11,AA,"Jean L.; American naturalist (1807-1873).",
FT,"Agate","Agate","Steins",0.5,57.6,1.8,AA,"Banded gemstone, variety of the mineral chalcedony.",
FT,"Agatharchides","Agatharchides","Moon",51.98,-19.85,328.89,AA,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides A","Agatharchides A","Moon",15.68,-23.27,331.54,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides B","Agatharchides B","Moon",6.97,-21.52,328.29,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides C","Agatharchides C","Moon",11.46,-22.06,327.06,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides E","Agatharchides E","Moon",15.27,-20.74,326.81,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides F","Agatharchides F","Moon",5.89,-20.26,328.14,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides G","Agatharchides G","Moon",5.96,-20.17,333.16,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides H","Agatharchides H","Moon",15.97,-20.41,326.05,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides J","Agatharchides J","Moon",13.04,-21.62,327.39,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides K","Agatharchides K","Moon",13.35,-21.08,332.47,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides L","Agatharchides L","Moon",7.99,-21.12,333.21,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides N","Agatharchides N","Moon",21.65,-21.09,330.28,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides O","Agatharchides O","Moon",4.65,-19.24,333.29,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides P","Agatharchides P","Moon",65.98,-20.3,331.23,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides R","Agatharchides R","Moon",5.11,-18.36,329.15,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides S","Agatharchides S","Moon",3.06,-17.75,329.41,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agatharchides T","Agatharchides T","Moon",5.62,-18.32,332.2,SF,"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
FT,"Agave Linea","Agave Linea","Europa",1440,12.8,86.9,LI,"Daughter of Harmonia and Cadmus.",
FT,"Agenor Linea","Agenor Linea","Europa",1496,-43.8,146.5,LI,"Greek; Europa's father.",
FT,"Aglaonice","Aglaonice","Venus",63.7,-26.4,339.9,AA,"Ancient Greek astronomer.",
FT,"Agloolik","Agloolik","Callisto",61.6,-47.7,277.6,AA,"Eskimo spirit of the seal caves.",
FT,"Agnesi","Agnesi","Venus",42.4,-39.4,37.7,AA,"Maria; Italian mathematician (1718-1799).",
FT,"Agni Patera","Agni Patera","Io",19.7,-40.78,26.91,PE,"Hindu god of fire.",
FT,"Agoe","Agoe","Venus",6.3,13.1,4.3,AA,"Eve first name.",
FT,"Agonium Rupes","Agonium Rupes","Vesta",111.28,-53.47,316.08,RU,"Roman festival celebrated several times a year; on this day the Rex sacrorum offered a ram in the Regia.",
FT,"Agraulos Corona","Agraulos Corona","Venus",170,-27.7,165.8,CR,"Greek fertility goddess.",
FT,"Agreus","Agreus","Ganymede",63,15.87,127.3,AA,"Hunter god in Tyre.",
FT,"Agrippa","Agrippa","Moon",43.75,4.1,10.47,AA,"Greek astronomer (unkn-fl. A.D. 92).",
FT,"Agrippa B","Agrippa B","Moon",4.01,6.2,9.46,SF,"Greek astronomer (unkn-fl. A.D. 92).",
FT,"Agrippa D","Agrippa D","Moon",21.36,3.77,6.72,SF,"Greek astronomer (unkn-fl. A.D. 92).",
FT,"Agrippa E","Agrippa E","Moon",5,5.16,8.44,SF,"Greek astronomer (unkn-fl. A.D. 92).",
FT,"Agrippa F","Agrippa F","Moon",5.35,4.3,11.37,SF,"Greek astronomer (unkn-fl. A.D. 92).",
FT,"Agrippa G","Agrippa G","Moon",13.24,3.91,6.16,SF,"Greek astronomer (unkn-fl. A.D. 92).",
FT,"Agrippa H","Agrippa H","Moon",4.86,4.75,10.7,SF,"Greek astronomer (unkn-fl. A.D. 92).",
FT,"Agrippa S","Agrippa S","Moon",31.71,5.28,8.89,SF,"Greek astronomer (unkn-fl. A.D. 92).",
FT,"Agrippina","Agrippina","Venus",38.6,-33.2,65.7,AA,"Roman empress (c. 13 B.C.-A.D. 33).",
FT,"Ägröi","Agroi","Callisto",67.4,43.2,349.1,AA,"Finno-Ugric god of twins.",
FT,"Agrona Linea","Agrona Linea","Venus",2300,40,280,LI,"Welsh goddess of slaughter, destroyer of life. ",
FT,"Agrotes","Agrotes","Ganymede",74,60.93,167.38,AA,"Tyre; greatest god of Gebal; farmer god.",
FT,"Agunua","Agunua","Rhea",0,63.3,293.8,AA,"San Cristobal (Melanesia) god who made sea, land, people.",
FT,"Agwo Facula","Agwo Facula","Mercury",50,22.4,146.3,FA,"Igbo (Southeastern Nigeria) word for snake.",
FT,"Ahava","Ahava","Venus",10.4,53.6,187.3,AA,"Hebrew first name.",
FT,"Ahmad","Ahmad","Enceladus",18.13,57.87,49.98,AA,"Youngest son; brings father a magic apple; marries the Genie Peri Banu.",
FT,"Ahmad Baba","Ahmad Baba","Mercury",126,58.33,231.65,AA,"Abu-a;-Abbas Aj,Ad Obm Aj,Ad a;-Takruri Al-Massufi; Sudanese writer (1556-1627).",
FT,"Ah Peku Patera","Ah Peku Patera","Io",84.91,10.36,253.02,PE,"Mayan thunder god.",
FT,"Ahsabkab Vallis","Ahsabkab Vallis","Venus",700,-24,79,VA,"Mayan name for morning Venus.",
FT,"Ahsonnutli Dorsa","Ahsonnutli Dorsa","Venus",1708,47.9,196.5,DO,"Navajo (N. America) spirit of light and sky.",
FT,"Ahti","Ahti","Callisto",54.8,41.4,257.6,AA,"Finnish god of water; sends fish to the fisherman.",
FT,"Ahuna Mons","Ahuna Mons","Ceres",20,-10.48,316.2,MO,"Sumi tribe (Nagaland, NE India) traditional post-harvest festival, signifies the celebration of the seasons harvest’s thanksgiving.",
FT,"Aibarchin Planitia","Aibarchin Planitia","Venus",1200,-73,25,PL,"Uzbek ""Alpamysh"" epic tale heroine.",
